"","Castanhal.x","Ano.x","total"
"1","Coletivo",2018,1534.63033333333
"2","Coletivo",2019,1375.5682
"3","Coletivo",2020,1493.2717
"4","Coletivo",2021,0
"5","Davi",2018,575.333333333333
"6","Davi",2019,440.6
"7","Davi",2020,417.21
"8","Davi",2021,0
"9","Dimar",2018,0
"10","Dimar",2019,205.56
"11","Dimar",2020,191.1876
"12","Dimar",2021,0
"13","Irmãos Gamas",2018,0
"14","Irmãos Gamas",2019,320.95
"15","Irmãos Gamas",2020,263.6
"16","Irmãos Gamas",2021,0
"17","Mariazinha",2018,600.987333333333
"18","Mariazinha",2019,402.726
"19","Mariazinha",2020,520.009
"20","Mariazinha",2021,0
"21","Marizan",2018,0
"22","Marizan",2019,255.811666666667
"23","Marizan",2020,178.416666666667
"24","Marizan",2021,0
"25","Zequinha",2018,0
"26","Zequinha",2019,750.1196
"27","Zequinha",2020,1306.02315789474
"28","Zequinha",2021,0
"29","Zirmão",2018,657.9219
"30","Zirmão",2019,659.103
"31","Zirmão",2020,690.862
"32","Zirmão",2021,0
"33","Zirmão 2",2018,0
"34","Zirmão 2",2019,599.175
"35","Zirmão 2",2020,562.311666666667
"36","Zirmão 2",2021,0
