"","tamanho.x","Castanhal.x","total"
"1","adulto","Coletivo",2137.13893333333
"2","adulto","Davi",674.761733333333
"3","adulto","Dimar",104.6296
"4","adulto","Irmãos Gamas",398.3425
"5","adulto","Mariazinha",837.969533333333
"6","adulto","Marizan",153.648333333333
"7","adulto","Zequinha",1068.84525789474
"8","adulto","Zirmão",1353.9061
"9","adulto","Zirmão 2",855.193166666667
"10","adulto-senescente","Coletivo",1704.2858
"11","adulto-senescente","Davi",672.4192
"12","adulto-senescente","Dimar",234.1326
"13","adulto-senescente","Irmãos Gamas",126.88
"14","adulto-senescente","Mariazinha",396.1966
"15","adulto-senescente","Zequinha",599.67
"16","adulto-senescente","Zirmão",0
"17","adulto-senescente","Zirmão 2",152.282
"18","jovem","Coletivo",0
"19","jovem-adulto","Coletivo",562.0455
"20","jovem-adulto","Davi",85.9624
"21","jovem-adulto","Dimar",57.9854
"22","jovem-adulto","Irmãos Gamas",59.3275
"23","jovem-adulto","Mariazinha",289.5562
"24","jovem-adulto","Marizan",98.85
"25","jovem-adulto","Zequinha",387.6275
"26","jovem-adulto","Zirmão",530.2294
"27","jovem-adulto","Zirmão 2",154.0115
"28","senescente","Coletivo",0
"29","senescente","Mariazinha",0
"30","senescente","Marizan",181.73
"31","senescente","Zequinha",0
"32","senescente","Zirmão",123.7514
"33","senescente","Zirmão 2",0
"34",NA,"Dimar",0
"35",NA,"Irmãos Gamas",0
"36",NA,"Marizan",0
"37",NA,"Zequinha",0
"38",NA,"Zirmão 2",0
